GFS Code,Parent Code,Category,Level,2018,2019,2020,2021,2022,2023,2024,2025,2026
1,,Revenue,1,541.1,615.3,578.2,512.9,572.2,652.5,681.4,870.65,929.7
11,1,Taxes,2,247.5,247.8,257.1,226.5,258,285.6,291.9,327.7,347.1
111,11,"Taxes on income, profits, and capital gains",3,38.1,45.4,57.5,,55.6,58,63.8,68.8,78.7
113,11,Taxes on property,3,0.9,1.1,0.4,,0.3,0.4,0.5,0.5,0.4
114,11,Taxes on goods and services,3,171.9,166.5,170.7,,177.2,195.6,196.6,215.7,228.3
115,11,Taxes on international trade and transacitons,3,36.6,34.8,28.5,,24.9,31.6,31,42.7,39.7
116,11,Other taxes,3,,,,,0,0,-,-,-
13,1,Grants,2,251.4,323.3,272.6,247.9,294.4,336.4,347.2,488.45,509.2
131,13,Current,3,114.3,139.4,38.5,38.5,52.1,53.7,48.2,72.35,120.2
132,13,Capital,3,137.1,183.9,234.1,209.4,242.3,282.7,299,416.1,389
14,1,Other revenue,2,42.2,44.2,48.5,38.5,19.8,30.5,42.3,54.5,73.4
141,14,Property income [GFS],3,20.2,21.9,20.5,,9.7,11.4,9.8,12.7,41.9
142,14,Sales of goods and services,3,17.9,17.7,17.3,,9.3,16.4,15.6,21.2,29.9
143,14,"Fines, penalties, and forfeits",3,1.3,1.2,1.2,,0.7,0.8,0.9,1.1,0.8
144,14,Voluntary transfers other than grants,3,0,,1.8,,0.1,0.1,0.4,0,0.8
145,14,Miscellaneous and unidentified revenue,3,2.7,3.4,7.7,,1.2,1.9,15.6,19.6,21.6
2,,Expense,1,407.8,422.1,456.3,495.8,516.5,483.8,484.3,595.2,621.8
21,2,Compensation of employees,2,148.6,154.7,162.2,166.6,192.3,163.5,164.6,189.4,192.9
211,21,Wages and salaries,3,135.9,142.1,149.3,,177.6,151.4,152.9,175.1,178
212,21,Social contributions,3,12.7,12.6,12.9,,14.7,12.1,11.7,14.3,14.9
22,2,Use of goods and services,2,171.6,194.9,228.1,261.4,221.1,225.1,224.9,278.7,314.3
24,2,Interest,2,8.1,8.1,7.9,8.8,6.2,8.2,7.4,6.9,5.9
241,24,To nonresidents ,3,6.3,6.3,6.1,4.2,4.2,6.2,5.7,4.8,4
242,24,To residents other than general government,3,1.8,1.8,1.8,4.2,2,2,1.7,2.1,1.9
25,2,Subsidies,2,0.9,0.9,0.9,0.9,1,1.2,1.1,1.3,1.3
251,25,Subsidies to public corporations,3,0,0,0,0.4,0,0,-,-,-
252,25,Subsidies to private enterprises,3,0.9,0.9,0.9,0.5,1,1.2,1.1,1.3,1.3
26,2,Grants,2,2.5,2.5,4.3,4.4,39.6,21.9,29.9,43.1,38.4
27,2,Social benefits,2,24.5,26.9,26.8,22.1,26.7,28.2,26.2,28.4,33.1
28,2,Other expense,2,51.6,34.1,26.1,20.4,29.6,35.7,30.2,47.4,35.9
,,Gross Operating Balance,0,133.3,193.2,121.9,17.1,55.7,168.7,197.1,275.45,307.9
31,3,Net Acquisition Of Nonfinancial Assets,2,146.6,191.9,111.8,54.5,75.2,95.2,153.6,232.8,252.4
311,31,Fixed assets,3,146.4,194,111,54.5,74.4,95,152,229.3,248.3
3111,311,Buildings and structures,4,92.6,88,65.6,,41.2,47.6,107.7,162.9,145.3
3112,311,Machinery and equipment,4,42.5,90.3,27.9,,31.2,43.7,37.8,33,102.5
3113,311,Other fixed assets,4,11.3,15.7,17.5,,2,3.7,6.5,33.4,0.5
314,31,Nonproduced assets,3,0.2,-2.1,0.8,0.4,0.8,0.2,1.6,3.5,4.1
3141,314,Land,4,0.2,0.4,0.8,0.4,0.8,0.2,1.6,3.5,4.1
,,Net Lending/Borrowing Requirement,0,-13.3,1.3,10.1,-37.4,-19.5,73.5,43.5,42.65,55.5
,,Net Acquisition Of Financial Assets And Liabilities,0,13.3,-1.3,-10.1,37.4,19.5,-73.5,-43.5,-42.65,-55.5
32,3,Financial Assets,2,15.2,-2.5,20.8,-20.1,5.8,-139,1.3,4.2,-37
321,32,Domestic,3,15.2,-2.5,20.8,-20.1,5.8,-139,1.3,4.2,-37
322,32,Currency and deposits,3,0.6,-10.8,,-19.8,6.1,-74.1,-0.8,0,-0.9
3214,321,Loans,4,14.2,7.9,,-0.7,-0.7,-65.3,8,13.4,-36
322,32,Shares and other equity,3,0.4,0.4,,0.4,0.4,0.4,-5.9,-9.2,-0.1
33,3,Financial Liabilities,2,28.5,-3.9,-10.6,17.2,21.8,0,-44.8,-46.9,-18.4
331,33,Domestic,3,1.9,0.9,0.9,20.9,0.9,-15.1,3,-0.8,30
3314,331,Loans,4,,,,35.9,15.9,0,15,15,43.6
3315,331,Repayments,4,,,,15,15,15.1,12,15.8,13.6
332,33,Foreign,3,26.6,-4.8,-11.5,-3.7,20.9,15.1,-47.8,-46.1,-48.4
3324,332,Loans,4,,,,19,30,0.7,-,-,-
3328,332,Repayments,4,,,,-22.7,17.6,21,47.8,46.1,48.4
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
